Connecting to host 10.0.1.102, port 5201
[  5] local 10.0.1.101 port 49456 connected to 10.0.1.102 port 5201
[  5]  65.00-66.00  sec  10.5 MBytes  88.1 Mbits/sec    0   12.8 MBytes       
[  5]  66.00-67.00  sec  10.5 MBytes  88.1 Mbits/sec    0   12.8 MBytes       
[  5]  67.00-68.00  sec  15.9 MBytes   133 Mbits/sec    0   12.8 MBytes       
[  5]  68.00-69.00  sec  16.2 MBytes   136 Mbits/sec    0   12.8 MBytes       
[  5]  69.00-70.00  sec  16.0 MBytes   134 Mbits/sec    0   12.8 MBytes       
[  5]  70.00-71.00  sec  10.5 MBytes  88.0 Mbits/sec    0   12.8 MBytes       
[  5]  71.00-72.00  sec  10.5 MBytes  88.2 Mbits/sec    0   12.8 MBytes       
[  5]  72.00-73.00  sec  10.6 MBytes  89.0 Mbits/sec    0   12.8 MBytes       
[  5]  73.00-74.00  sec  5.25 MBytes  44.1 Mbits/sec  801   8.95 MBytes       
[  5]  74.00-75.00  sec  20.6 MBytes   173 Mbits/sec    0   9.13 MBytes       
[  5]  75.00-76.01  sec  16.1 MBytes   135 Mbits/sec    0   9.59 MBytes       
[  5]  76.01-77.00  sec  10.6 MBytes  89.6 Mbits/sec    0   9.99 MBytes       
[  5]  77.00-78.01  sec  10.8 MBytes  89.8 Mbits/sec    0   10.4 MBytes       
[  5]  78.01-79.00  sec  15.9 MBytes   134 Mbits/sec    0   10.9 MBytes       
[  5]  79.00-80.00  sec  10.8 MBytes  90.1 Mbits/sec    0   11.2 MBytes       
[  5]  80.00-81.00  sec  10.6 MBytes  89.2 Mbits/sec    0   11.4 MBytes       
[  5]  81.00-82.00  sec  10.4 MBytes  87.0 Mbits/sec    0   11.7 MBytes       
[  5]  82.00-83.00  sec  10.5 MBytes  88.1 Mbits/sec    0   12.0 MBytes       
[  5]  83.00-84.01  sec  10.5 MBytes  87.3 Mbits/sec    0   12.2 MBytes       
[  5]  84.01-85.00  sec  10.5 MBytes  88.8 Mbits/sec    0   12.3 MBytes       
[  5]  85.00-86.00  sec  15.6 MBytes   131 Mbits/sec    0   12.3 MBytes       
[  5]  86.00-87.00  sec  10.8 MBytes  90.1 Mbits/sec    0   12.3 MBytes       
[  5]  87.00-88.00  sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5]  88.00-89.00  sec  10.6 MBytes  89.2 Mbits/sec    0   12.3 MBytes       
[  5]  89.00-90.00  sec  11.6 MBytes  97.5 Mbits/sec    0   12.3 MBytes       
[  5]  90.00-91.00  sec  10.5 MBytes  88.0 Mbits/sec    0   12.3 MBytes       
[  5]  91.00-92.00  sec  10.6 MBytes  89.2 Mbits/sec    0   12.3 MBytes       
[  5]  92.00-93.00  sec  12.6 MBytes   106 Mbits/sec    0   12.3 MBytes       
[  5]  93.00-94.00  sec  13.6 MBytes   114 Mbits/sec    0   12.3 MBytes       
[  5]  94.00-95.00  sec  10.5 MBytes  88.4 Mbits/sec    0   12.3 MBytes       
[  5]  95.00-96.00  sec  15.6 MBytes   131 Mbits/sec    0   12.3 MBytes       
[  5]  96.00-97.00  sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5]  97.00-98.00  sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5]  98.00-99.00  sec  10.5 MBytes  87.9 Mbits/sec    0   12.3 MBytes       
[  5]  99.00-100.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 100.00-101.00 sec  16.2 MBytes   137 Mbits/sec    0   12.3 MBytes       
[  5] 101.00-102.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 102.00-103.00 sec  16.0 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 103.00-104.00 sec  15.5 MBytes   130 Mbits/sec    0   12.3 MBytes       
[  5] 104.00-105.00 sec  12.0 MBytes   101 Mbits/sec    6   12.3 MBytes       
[  5] 105.00-106.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 106.00-107.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 107.00-108.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 108.00-109.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 109.00-110.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 110.00-111.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 111.00-112.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 112.00-113.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 113.00-114.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 114.00-115.01 sec  10.5 MBytes  87.6 Mbits/sec    0   12.3 MBytes       
[  5] 115.01-116.00 sec  16.0 MBytes   135 Mbits/sec    0   12.3 MBytes       
[  5] 116.00-117.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 117.00-118.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 118.00-119.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 119.00-120.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 120.00-121.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 121.00-122.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 122.00-123.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.3 MBytes       
[  5] 123.00-124.00 sec  10.4 MBytes  87.2 Mbits/sec    0   12.3 MBytes       
[  5] 124.00-125.00 sec  16.0 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 125.00-126.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 126.00-127.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 127.00-128.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.3 MBytes       
[  5] 128.00-129.00 sec  16.0 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 129.00-130.00 sec  11.6 MBytes  97.5 Mbits/sec    0   12.3 MBytes       
[  5] 130.00-131.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 131.00-132.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
