Connecting to host 10.0.1.102, port 5201
[  5] local 10.0.1.101 port 49456 connected to 10.0.1.102 port 5201
[  5] 287.00-288.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 288.00-289.01 sec  15.8 MBytes   131 Mbits/sec    0   12.2 MBytes       
[  5] 289.01-290.00 sec  10.8 MBytes  90.9 Mbits/sec    0   12.2 MBytes       
[  5] 290.00-291.01 sec  10.5 MBytes  87.2 Mbits/sec    0   12.2 MBytes       
[  5] 291.01-292.00 sec  10.5 MBytes  89.0 Mbits/sec    0   12.2 MBytes       
[  5] 292.00-293.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 293.00-294.00 sec  12.6 MBytes   106 Mbits/sec    0   12.2 MBytes       
[  5] 294.00-295.00 sec  10.8 MBytes  90.1 Mbits/sec    0   12.2 MBytes       
[  5] 295.00-296.00 sec  10.4 MBytes  87.1 Mbits/sec    0   12.2 MBytes       
[  5] 296.00-297.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 297.00-298.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 298.00-299.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 299.00-300.00 sec  10.5 MBytes  87.7 Mbits/sec    0   12.2 MBytes       
[  5] 300.00-301.00 sec  10.5 MBytes  88.3 Mbits/sec    0   12.2 MBytes       
[  5] 301.00-302.00 sec  10.6 MBytes  89.3 Mbits/sec    0   12.2 MBytes       
[  5] 302.00-303.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 303.00-304.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 304.00-305.01 sec  16.1 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 305.01-306.00 sec  10.5 MBytes  88.6 Mbits/sec    0   12.2 MBytes       
[  5] 306.00-307.00 sec  10.4 MBytes  87.1 Mbits/sec    0   12.2 MBytes       
[  5] 307.00-308.00 sec  10.6 MBytes  88.8 Mbits/sec    0   12.2 MBytes       
[  5] 308.00-309.00 sec  15.9 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 309.00-310.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 310.00-311.00 sec  10.4 MBytes  87.0 Mbits/sec    0   12.2 MBytes       
[  5] 311.00-312.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.2 MBytes       
[  5] 312.00-313.00 sec  10.4 MBytes  87.0 Mbits/sec    0   12.2 MBytes       
[  5] 313.00-314.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 314.00-315.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 315.00-316.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 316.00-317.00 sec  10.5 MBytes  87.9 Mbits/sec    0   12.2 MBytes       
[  5] 317.00-318.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 318.00-319.00 sec  10.5 MBytes  87.8 Mbits/sec    0   12.2 MBytes       
[  5] 319.00-320.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 320.00-321.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.2 MBytes       
[  5] 321.00-322.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 322.00-323.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 323.00-324.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 324.00-325.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 325.00-326.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 326.00-327.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 327.00-328.00 sec  10.6 MBytes  88.8 Mbits/sec    0   12.2 MBytes       
[  5] 328.00-329.00 sec  10.5 MBytes  88.4 Mbits/sec    0   12.2 MBytes       
[  5] 329.00-330.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 330.00-331.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 331.00-332.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 332.00-333.00 sec  10.6 MBytes  88.9 Mbits/sec    0   12.2 MBytes       
[  5] 333.00-334.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 334.00-335.00 sec  10.6 MBytes  88.8 Mbits/sec    0   12.2 MBytes       
[  5] 335.00-336.00 sec  10.5 MBytes  88.4 Mbits/sec    0   12.2 MBytes       
[  5] 336.00-337.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 337.00-338.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.2 MBytes       
[  5] 338.00-339.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 339.00-340.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 340.00-341.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 341.00-342.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 342.00-343.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 343.00-344.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 344.00-345.00 sec  10.6 MBytes  89.3 Mbits/sec    0   12.2 MBytes       
[  5] 345.00-346.00 sec  10.6 MBytes  89.0 Mbits/sec    0   12.2 MBytes       
[  5] 346.00-347.00 sec  10.4 MBytes  87.1 Mbits/sec    0   12.2 MBytes       
[  5] 347.00-348.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 348.00-349.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 349.00-350.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 350.00-351.00 sec  10.5 MBytes  88.3 Mbits/sec    0   12.2 MBytes       
[  5] 351.00-352.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 352.00-353.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 353.00-354.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 354.00-355.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 355.00-356.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 356.00-357.00 sec  10.4 MBytes  87.2 Mbits/sec    0   12.2 MBytes       
[  5] 357.00-358.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 358.00-359.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 359.00-360.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.2 MBytes       
[  5] 360.00-361.00 sec  10.5 MBytes  87.9 Mbits/sec    0   12.2 MBytes       
[  5] 361.00-362.00 sec  15.6 MBytes   131 Mbits/sec    0   12.2 MBytes       
[  5] 362.00-363.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 363.00-364.01 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 364.01-365.00 sec  10.6 MBytes  89.6 Mbits/sec    0   12.2 MBytes       
[  5] 365.00-366.01 sec  15.6 MBytes   130 Mbits/sec    0   12.2 MBytes       
[  5] 366.01-367.00 sec  10.5 MBytes  88.5 Mbits/sec    0   12.2 MBytes       
[  5] 367.00-368.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 368.00-369.01 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 369.01-370.00 sec  10.6 MBytes  89.5 Mbits/sec    0   12.2 MBytes       
[  5] 370.00-371.01 sec  10.5 MBytes  87.7 Mbits/sec    0   12.2 MBytes       
[  5] 371.01-372.00 sec  10.5 MBytes  88.5 Mbits/sec    0   12.2 MBytes       
[  5] 372.00-373.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 373.00-374.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 374.00-375.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 375.00-376.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 376.00-377.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 377.00-378.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 378.00-379.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 379.00-380.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 380.00-381.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 381.00-382.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 382.00-383.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 383.00-384.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 384.00-385.00 sec  16.4 MBytes   137 Mbits/sec    0   12.2 MBytes       
[  5] 385.00-386.00 sec  16.1 MBytes   135 Mbits/sec    0   12.2 MBytes       
[  5] 386.00-387.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 387.00-388.00 sec  10.6 MBytes  89.0 Mbits/sec    0   12.2 MBytes       
[  5] 388.00-389.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 389.00-390.02 sec  10.6 MBytes  87.7 Mbits/sec    0   12.2 MBytes       
[  5] 390.02-391.00 sec  15.6 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 391.00-392.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 392.00-393.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 393.00-394.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 394.00-395.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 395.00-396.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 396.00-397.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 397.00-398.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 398.00-399.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 399.00-400.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.2 MBytes       
[  5] 400.00-401.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 401.00-402.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 402.00-403.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 403.00-404.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 404.00-405.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.2 MBytes       
[  5] 405.00-406.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 406.00-407.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.2 MBytes       
[  5] 407.00-408.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 408.00-409.00 sec  10.6 MBytes  88.8 Mbits/sec    0   12.2 MBytes       
[  5] 409.00-410.00 sec  15.8 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 410.00-411.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 411.00-412.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.2 MBytes       
[  5] 412.00-413.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 413.00-414.00 sec  10.6 MBytes  89.5 Mbits/sec    0   12.2 MBytes       
[  5] 414.00-415.00 sec  10.4 MBytes  87.0 Mbits/sec    0   12.2 MBytes       
[  5] 415.00-416.00 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 416.00-417.00 sec  10.5 MBytes  87.9 Mbits/sec    0   12.2 MBytes       
[  5] 417.00-418.00 sec  11.5 MBytes  96.6 Mbits/sec    0   12.2 MBytes       
[  5] 418.00-419.00 sec  12.4 MBytes   104 Mbits/sec    0   12.2 MBytes       
[  5] 419.00-420.00 sec  16.0 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 420.00-421.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 421.00-422.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 422.00-423.01 sec  10.6 MBytes  88.8 Mbits/sec    0   12.2 MBytes       
[  5] 423.01-424.00 sec  10.5 MBytes  88.4 Mbits/sec    0   12.2 MBytes       
[  5] 424.00-425.01 sec  10.5 MBytes  87.5 Mbits/sec    0   12.2 MBytes       
[  5] 425.01-426.00 sec  10.5 MBytes  88.7 Mbits/sec    0   12.2 MBytes       
[  5] 426.00-427.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 427.00-428.01 sec  15.8 MBytes   131 Mbits/sec    0   12.2 MBytes       
[  5] 428.01-429.00 sec  10.8 MBytes  90.3 Mbits/sec    0   12.2 MBytes       
[  5] 429.00-430.01 sec  15.9 MBytes   133 Mbits/sec    0   12.2 MBytes       
[  5] 430.01-431.00 sec  10.5 MBytes  88.4 Mbits/sec    0   12.2 MBytes       
[  5] 431.00-432.00 sec  10.8 MBytes  90.2 Mbits/sec    0   12.2 MBytes       
[  5] 432.00-433.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 433.00-434.01 sec  10.5 MBytes  87.7 Mbits/sec    0   12.2 MBytes       
[  5] 434.01-435.00 sec  15.9 MBytes   134 Mbits/sec    0   12.2 MBytes       
[  5] 435.00-436.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.2 MBytes       
[  5] 436.00-437.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 437.00-438.00 sec  5.25 MBytes  44.0 Mbits/sec  521   8.57 MBytes       
[  5] 438.00-439.00 sec  18.5 MBytes   155 Mbits/sec    0   8.81 MBytes       
[  5] 439.00-440.00 sec  16.0 MBytes   134 Mbits/sec    0   9.21 MBytes       
[  5] 440.00-441.01 sec  10.8 MBytes  90.0 Mbits/sec    0   9.65 MBytes       
[  5] 441.01-442.00 sec  10.6 MBytes  89.5 Mbits/sec    0   10.1 MBytes       
[  5] 442.00-443.00 sec  10.6 MBytes  89.1 Mbits/sec    0   10.5 MBytes       
[  5] 443.00-444.00 sec  16.1 MBytes   135 Mbits/sec    0   10.8 MBytes       
[  5] 444.00-445.00 sec  10.6 MBytes  89.2 Mbits/sec    0   11.1 MBytes       
[  5] 445.00-446.00 sec  10.5 MBytes  88.1 Mbits/sec    0   11.3 MBytes       
[  5] 446.00-447.00 sec  10.5 MBytes  88.1 Mbits/sec    0   11.5 MBytes       
[  5] 447.00-448.00 sec  15.9 MBytes   133 Mbits/sec    0   11.7 MBytes       
[  5] 448.00-449.00 sec  10.6 MBytes  89.1 Mbits/sec    0   11.9 MBytes       
[  5] 449.00-450.00 sec  15.9 MBytes   133 Mbits/sec    0   12.0 MBytes       
[  5] 450.00-451.00 sec  15.8 MBytes   132 Mbits/sec    1   12.1 MBytes       
[  5] 451.00-452.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.1 MBytes       
[  5] 452.00-453.00 sec  16.0 MBytes   134 Mbits/sec    0   12.1 MBytes       
[  5] 453.00-454.00 sec  15.9 MBytes   133 Mbits/sec    0   12.1 MBytes       
[  5] 454.00-455.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.1 MBytes       
[  5] 455.00-456.00 sec  15.9 MBytes   133 Mbits/sec    0   12.1 MBytes       
[  5] 456.00-457.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.1 MBytes       
[  5] 457.00-458.00 sec  15.8 MBytes   132 Mbits/sec    0   12.2 MBytes       
[  5] 458.00-459.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 459.00-460.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 460.00-461.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 461.00-462.00 sec  15.6 MBytes   131 Mbits/sec    0   12.3 MBytes       
[  5] 462.00-463.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.3 MBytes       
[  5] 463.00-464.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 464.00-465.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 465.00-466.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.3 MBytes       
[  5] 466.00-467.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 467.00-468.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.3 MBytes       
[  5] 468.00-469.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 469.00-470.00 sec  16.1 MBytes   135 Mbits/sec    0   12.3 MBytes       
[  5] 470.00-471.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 471.00-472.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 472.00-473.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 473.00-474.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 474.00-475.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 475.00-476.07 sec  10.5 MBytes  82.8 Mbits/sec    0   12.3 MBytes       
[  5] 476.07-477.00 sec  15.9 MBytes   142 Mbits/sec    0   12.3 MBytes       
[  5] 477.00-478.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.3 MBytes       
[  5] 478.00-479.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 479.00-480.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 480.00-481.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 481.00-482.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 482.00-483.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 483.00-484.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 484.00-485.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 485.00-486.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 486.00-487.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 487.00-488.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 488.00-489.01 sec  10.5 MBytes  87.8 Mbits/sec    0   12.3 MBytes       
[  5] 489.01-490.00 sec  10.5 MBytes  88.5 Mbits/sec    0   12.3 MBytes       
[  5] 490.00-491.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 491.00-492.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 492.00-493.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 493.00-494.00 sec  10.5 MBytes  87.9 Mbits/sec    0   12.3 MBytes       
[  5] 494.00-495.00 sec  10.6 MBytes  89.2 Mbits/sec    0   12.3 MBytes       
[  5] 495.00-496.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 496.00-497.00 sec  10.4 MBytes  87.0 Mbits/sec    0   12.3 MBytes       
[  5] 497.00-498.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 498.00-499.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.3 MBytes       
[  5] 499.00-500.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 500.00-501.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 501.00-502.00 sec  10.6 MBytes  89.4 Mbits/sec    0   12.3 MBytes       
[  5] 502.00-503.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 503.00-504.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 504.00-505.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 505.00-506.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 506.00-507.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 507.00-508.00 sec  10.6 MBytes  88.9 Mbits/sec    0   12.3 MBytes       
[  5] 508.00-509.00 sec  10.4 MBytes  87.2 Mbits/sec    0   12.3 MBytes       
[  5] 509.00-510.01 sec  16.1 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 510.01-511.00 sec  10.5 MBytes  88.6 Mbits/sec    0   12.3 MBytes       
[  5] 511.00-512.01 sec  10.4 MBytes  86.7 Mbits/sec    0   12.3 MBytes       
[  5] 512.01-513.00 sec  16.0 MBytes   135 Mbits/sec    0   12.3 MBytes       
[  5] 513.00-514.00 sec  10.5 MBytes  88.2 Mbits/sec    0   12.3 MBytes       
[  5] 514.00-515.01 sec  10.5 MBytes  87.5 Mbits/sec    0   12.3 MBytes       
[  5] 515.01-516.00 sec  11.0 MBytes  92.7 Mbits/sec    0   12.3 MBytes       
[  5] 516.00-517.00 sec  16.0 MBytes   135 Mbits/sec    0   12.3 MBytes       
[  5] 517.00-518.00 sec  10.9 MBytes  91.2 Mbits/sec    0   12.3 MBytes       
[  5] 518.00-519.00 sec  16.0 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 519.00-520.00 sec  10.5 MBytes  87.9 Mbits/sec    0   12.3 MBytes       
[  5] 520.00-521.00 sec  10.4 MBytes  87.2 Mbits/sec    0   12.3 MBytes       
[  5] 521.00-522.00 sec  10.4 MBytes  87.1 Mbits/sec    0   12.3 MBytes       
[  5] 522.00-523.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 523.00-524.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 524.00-525.00 sec  10.5 MBytes  88.3 Mbits/sec    0   12.3 MBytes       
[  5] 525.00-526.00 sec  10.4 MBytes  87.0 Mbits/sec    0   12.3 MBytes       
[  5] 526.00-527.00 sec  16.0 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 527.00-528.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 528.00-529.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 529.00-530.00 sec  11.6 MBytes  97.7 Mbits/sec    0   12.3 MBytes       
[  5] 530.00-531.00 sec  10.8 MBytes  90.2 Mbits/sec    0   12.3 MBytes       
[  5] 531.00-532.00 sec  16.0 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 532.00-533.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 533.00-534.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 534.00-535.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 535.00-536.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 536.00-537.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 537.00-538.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 538.00-539.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 539.00-540.00 sec  10.4 MBytes  87.0 Mbits/sec    0   12.3 MBytes       
[  5] 540.00-541.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 541.00-542.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 542.00-543.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 543.00-544.00 sec  10.4 MBytes  86.8 Mbits/sec    0   12.3 MBytes       
[  5] 544.00-545.00 sec  10.6 MBytes  89.4 Mbits/sec    0   12.3 MBytes       
[  5] 545.00-546.00 sec  10.2 MBytes  85.9 Mbits/sec    0   12.3 MBytes       
[  5] 546.00-547.01 sec  10.5 MBytes  87.2 Mbits/sec    0   12.3 MBytes       
[  5] 547.01-548.00 sec  16.0 MBytes   135 Mbits/sec    0   12.3 MBytes       
[  5] 548.00-549.01 sec  10.5 MBytes  87.6 Mbits/sec    0   12.3 MBytes       
[  5] 549.01-550.00 sec  11.0 MBytes  93.0 Mbits/sec    0   12.3 MBytes       
[  5] 550.00-551.00 sec  16.0 MBytes   134 Mbits/sec    0   12.3 MBytes       
[  5] 551.00-552.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 552.00-553.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 553.00-554.00 sec  16.2 MBytes   136 Mbits/sec    0   12.3 MBytes       
[  5] 554.00-555.00 sec  16.5 MBytes   139 Mbits/sec    0   12.3 MBytes       
[  5] 555.00-556.00 sec  10.5 MBytes  87.9 Mbits/sec    0   12.3 MBytes       
[  5] 556.00-557.00 sec  10.5 MBytes  88.3 Mbits/sec    0   12.3 MBytes       
[  5] 557.00-558.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 558.00-559.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 559.00-560.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 560.00-561.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 561.00-562.00 sec  10.5 MBytes  88.0 Mbits/sec    0   12.3 MBytes       
[  5] 562.00-563.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 563.00-564.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 564.00-565.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 565.00-566.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 566.00-567.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 567.00-568.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 568.00-569.00 sec  15.8 MBytes   132 Mbits/sec    0   12.3 MBytes       
[  5] 569.00-570.00 sec  15.9 MBytes   133 Mbits/sec    0   12.3 MBytes       
[  5] 570.00-571.00 sec  10.6 MBytes  89.1 Mbits/sec    0   12.3 MBytes       
[  5] 571.00-572.00 sec  10.5 MBytes  88.1 Mbits/sec    0   12.3 MBytes       
[  5] 572.00-573.02 sec  15.9 MBytes   131 Mbits/sec    0   12.3 MBytes       
[  5] 573.02-574.00 sec  10.4 MBytes  88.6 Mbits/sec    0   12.3 MBytes       
[  5] 574.00-575.00 sec  10.9 MBytes  91.3 Mbits/sec    0   12.3 MBytes       
[  5] 575.00-576.00 sec  14.5 MBytes   122 Mbits/sec    0   12.3 MBytes       
[  5] 576.00-577.00 sec  10.9 MBytes  91.3 Mbits/sec    0   12.3 MBytes       
